trat,LOCAL_YEAR,sev,yld
1,1_2023,55,4641.4655172413795
1,1_2023,60,4486.0344827586205
1,1_2023,60,4331.752873563218
1,1_2023,55,4455.172413793103
2,1_2023,28,4759.913793103448
2,1_2023,30,4578.520114942529
2,1_2023,25,4830.431034482759
2,1_2023,35,5060.474137931034
3,1_2023,16,5295.258620689656
3,1_2023,22,5401.03448275862
3,1_2023,20,5006.206896551724
3,1_2023,18,5333.103448275862
4,1_2023,15,4866.7385057471265
4,1_2023,22,4989.310344827587
4,1_2023,25,4865.28735632184
4,1_2023,22,5133.60632183908
5,1_2023,28,4719.137931034483
5,1_2023,28,5109.784482758621
5,1_2023,33,4895.172413793103
5,1_2023,30,4593.563218390805
6,1_2023,16,5109.310344827587
6,1_2023,20,4788.793103448276
6,1_2023,18,5101.724137931035
6,1_2023,25,5356.494252873564
7,1_2023,15,5592.413793103447
7,1_2023,20,5436.724137931035
7,1_2023,18,5263.807471264367
7,1_2023,15,5206.249999999999
8,1_2023,15,5570.2011494252865
8,1_2023,12,5291.508620689655
8,1_2023,15,5244.48275862069
8,1_2023,15,5493.620689655172
9,1_2023,22,5409.885057471264
9,1_2023,20,4818.505747126437
9,1_2023,20,5312.298850574712
9,1_2023,18,4983.218390804597
1,2_2023,41.5,4008
1,2_2023,41.3,4236
1,2_2023,40.7,3924.000000000001
1,2_2023,46.5,4032
2,2_2023,22,4410
2,2_2023,19.5,4326
2,2_2023,20.4,4584
2,2_2023,23.9,4554
3,2_2023,11.8,5436
3,2_2023,11.5,5442
3,2_2023,10.7,5478
3,2_2023,12.4,5142
4,2_2023,21.1,4632
4,2_2023,19.2,4890
4,2_2023,20.3,4356
4,2_2023,18.5,4524
5,2_2023,16.6,4752
5,2_2023,17.5,4644
5,2_2023,16.8,5010
5,2_2023,15.1,4914
6,2_2023,13.8,5112
6,2_2023,14.2,4986
6,2_2023,13.7,5052
6,2_2023,16.5,5196
7,2_2023,15.2,4962
7,2_2023,15.1,5094
7,2_2023,14.7,4812
7,2_2023,16.5,4890
8,2_2023,13.7,5166
8,2_2023,13.8,5190
8,2_2023,14,5232
8,2_2023,15.5,4962
9,2_2023,12.6,5358
9,2_2023,12.1,5430
9,2_2023,10.7,5562
9,2_2023,14.5,5190
1,3_2023,50,4198.05
1,3_2023,60,4438.44
1,3_2023,25,4351
1,3_2023,40,4322.78
2,3_2023,15,4700.81
2,3_2023,15,4445.68
2,3_2023,10,4301.95
2,3_2023,20,4602.06
3,3_2023,15,4868.51
3,3_2023,6,4623.51
3,3_2023,15,4543.16
3,3_2023,35,4445.68
4,3_2023,10,4706.66
4,3_2023,25,4606.82
4,3_2023,15,4590.75
4,3_2023,25,4669.19
5,3_2023,20,4442.69
5,3_2023,15,4596.44
5,3_2023,25,4824.19
5,3_2023,15,4730.72
6,3_2023,15,5028.09
6,3_2023,5,4744.54
6,3_2023,15,4730.29
6,3_2023,30,4853.39
7,3_2023,10,4539.79
7,3_2023,15,4819.54
7,3_2023,5,4533.26
7,3_2023,10,4599.55
8,3_2023,5,4647.89
8,3_2023,10,4671.08
8,3_2023,5,5091.54
8,3_2023,20,5113.48
9,3_2023,20,4672.01
9,3_2023,15,4521.32
9,3_2023,25,4604.53
9,3_2023,15,4612.9
1,5_2023,45,3177.5862065787933
1,5_2023,40,3324.099616525828
1,5_2023,35,3119.080459458207
1,5_2023,40,2920.689654880345
2,5_2023,25,3285.402298522035
2,5_2023,20,3623.448275499724
2,5_2023,20,3564.853128634575
2,5_2023,25,3617.471264006069
3,5_2023,20,3166.436781292551
3,5_2023,23,3823.793103065897
3,5_2023,20,3960.56194085554
3,5_2023,20,3708.3014044822985
4,5_2023,30,3093.86973149138
4,5_2023,30,3862.8352486558624
4,5_2023,25,3755.55555518
4,5_2023,20,3821.200510473563
5,5_2023,5,3438.4674326063446
5,5_2023,10,3812.899105621265
5,5_2023,10,4118.084290775932
5,5_2023,5,3555.504469631678
6,5_2023,10,3300.2809702957697
6,5_2023,10,4004.291187339034
6,5_2023,10,4097.407406997667
6,5_2023,15,3304.010216783264
7,5_2023,5,3951.4687096942534
7,5_2023,8,4160.344827170173
7,5_2023,7.5,3731.2899102271263
7,5_2023,5,3569.7318004093104
8,5_2023,5,3668.965516874483
8,5_2023,5,3602.426564135287
8,5_2023,5,4182.886334192184
8,5_2023,2,3836.564495146356
9,5_2023,15,3370.1915705442075
9,5_2023,20,3782.222221844
9,5_2023,25,3804.444444064
9,5_2023,25,3452.1072793482763
1,6_2023,49,3024.137931034483
1,6_2023,57,3604.7724137931023
1,6_2023,50,3331.2459770114947
1,6_2023,43,3073.379310344827
2,6_2023,12,3961.620689655173
2,6_2023,7,3820.494252873564
2,6_2023,8,3786.8965517241377
2,6_2023,8,3950.56551724138
3,6_2023,8,4171.885057471264
3,6_2023,7,4181.5310344827585
3,6_2023,8,3777.586206896552
3,6_2023,9,3956.105747126437
4,6_2023,5,3267.2781609195404
4,6_2023,7,4091.928735632184
4,6_2023,3,4107.689655172414
4,6_2023,9,4010.006896551724
5,6_2023,2,3715.636781609196
5,6_2023,6,4177.117241379311
5,6_2023,4,3553.324137931035
5,6_2023,3,3699.875862068965
6,6_2023,3,3790.2528735632177
6,6_2023,9,3649.1264367816098
6,6_2023,6,3542.2666666666673
6,6_2023,4,3525.7149425287353
7,6_2023,3,3749.9310344827586
7,6_2023,3,3792.471264367816
7,6_2023,2,3916.5885057471264
7,6_2023,3,3890.3586206896553
8,6_2023,4,3776.9310344827586
8,6_2023,2,3784.20459770115
8,6_2023,4,3851.416091954024
8,6_2023,3,3865.5770114942534
9,6_2023,3,4007.990804597701
9,6_2023,2,3640.71724137931
9,6_2023,6,3942.620689655173
9,6_2023,4,3974.1885057471272
1,7_2023,27,3718.582375478926
1,7_2023,25,3556.1728395061723
1,7_2023,28,3472.8395061728384
1,7_2023,28,3474.723286504895
2,7_2023,10,3607.758620689655
2,7_2023,9,4006.704980842911
2,7_2023,11,3674.329501915708
2,7_2023,9,3550.787569178374
3,7_2023,9,3908.546189868029
3,7_2023,8,4161.068539804172
3,7_2023,9,3825.191570881226
3,7_2023,9,3468.0076628352494
4,7_2023,11,4154.278416347382
4,7_2023,12,4091.900808854832
4,7_2023,12,3933.588761174968
4,7_2023,11,4075.0106428267345
5,7_2023,10,3907.109408258834
5,7_2023,12,4152.91613452533
5,7_2023,10,3781.6091954022986
5,7_2023,10,3599.1379310344823
6,7_2023,13,3745.721583652618
6,7_2023,12,4361.813537675606
6,7_2023,13,3741.389953171563
6,7_2023,11,3798.722860791826
7,7_2023,13,3532.9821200510855
7,7_2023,15,4728.192848020434
7,7_2023,15,4293.0395913154525
7,7_2023,15,3382.247765006386
8,7_2023,13,4145.0191570881225
8,7_2023,14,3936.270753512132
8,7_2023,14,3913.8356747552143
8,7_2023,12,3799.5742869306087
9,7_2023,15,3709.578544061302
9,7_2023,14,3595.6470838654736
9,7_2023,14,3902.469135802468
9,7_2023,12,3516.3367390378885
1,8_2023,13.65,3295.827237896203
1,8_2023,15.1,3948.045977011494
1,8_2023,15.1,3905.798212005109
1,8_2023,13.15,3990.8355586516504
2,8_2023,5.75,4118.239869964008
2,8_2023,4.8500000000000005,4161.592940903285
2,8_2023,4.85,4257.672510546074
2,8_2023,4.8,4257.619876930222
3,8_2023,4.45,3989.213204845389
3,8_2023,4.7,4370.723325206084
3,8_2023,4.75,4152.587948450017
3,8_2023,5.3,4764.346917450365
4,8_2023,7.65,3818.474399164055
4,8_2023,6.85,4121.100661790317
4,8_2023,6.6,4119.8095901544175
4,8_2023,7.35,4190.344827586207
5,8_2023,6.4,4291.534502109214
5,8_2023,7.35,4083.1208638105186
5,8_2023,5.3,4266.937574983553
5,8_2023,5.65,3998.6067572274465
6,8_2023,5.75,4439.0433066295145
6,8_2023,4.75,4068.160532528349
6,8_2023,4.949999999999999,4265.892642904138
6,8_2023,5.05,4410.6165099268555
7,8_2023,7.199999999999999,4050.09172181586
7,8_2023,7.15,3933.136731297651
7,8_2023,6.3,4222.593753628236
7,8_2023,6.15,4058.8258059522423
8,8_2023,6.7,3926.5993265993266
8,8_2023,7.65,4025.8105963853095
8,8_2023,6.2,4048.1071248887342
8,8_2023,6.5,4198.653198653198
9,8_2023,4.85,4728.158210457061
9,8_2023,4.1,4345.833817098185
9,8_2023,4.9,4345.833817098185
9,8_2023,4.3,3928.114865126359
1,9_2023,50,3245.5938697318006
1,9_2023,40,4181.299489144317
1,9_2023,52.5,4032.4233716475096
1,9_2023,42.5,3736.909323116219
2,9_2023,10,4681.6730523627075
2,9_2023,5,4977.931034482759
2,9_2023,1,5055.28735632184
2,9_2023,7.5,5008.9399744572165
3,9_2023,2.5,4804.597701149425
3,9_2023,4.3,5584.386973180075
3,9_2023,5.2,5267.241379310344
3,9_2023,3.2,5247.525542784164
4,9_2023,5,4610.88441890166
4,9_2023,10,4698.850574712644
4,9_2023,2.5,4738.991060025543
4,9_2023,2,5333.742017879949
5,9_2023,5,4599.814814814816
5,9_2023,10,4786.082375478927
5,9_2023,2.5,5896.430395913155
5,9_2023,1,4850.210727969348
6,9_2023,10,4172.203065134099
6,9_2023,10,4441.653895274586
6,9_2023,1,5507.151979565772
6,9_2023,2.5,5800
7,9_2023,2,4575.389527458494
7,9_2023,5,4770.114942528736
7,9_2023,0.5,4787.911877394636
7,9_2023,1,5447.024265644955
8,9_2023,1.5,4936.340996168582
8,9_2023,2.5,5019.201787994892
8,9_2023,0.5,5356.2835249042155
8,9_2023,1,5636.475095785441
9,9_2023,1.5,5360.006385696041
9,9_2023,3,4935.683269476373
9,9_2023,2.5,5395.274584929758
9,9_2023,1.5,5273.467432950191
1,11_2023,20,3893.3
1,11_2023,20,4601.8
1,11_2023,18,3783.8
1,11_2023,25,4766.3
2,11_2023,4,3987.2
2,11_2023,6,5102.6
2,11_2023,3,4391.6
2,11_2023,4,4945.3
3,11_2023,2,4213
3,11_2023,2,5329.4
3,11_2023,1.5,4945.3
3,11_2023,2,4954.1
4,11_2023,2,4217.8
4,11_2023,2,4652.4
4,11_2023,2,4612.9
4,11_2023,2.5,5068.5
5,11_2023,4,4394.7
5,11_2023,3,4536.2
5,11_2023,3,4329.3
5,11_2023,4,4088.8
6,11_2023,3,4503.7
6,11_2023,3,4641.5
6,11_2023,4,4732.5
6,11_2023,3,4725.4
7,11_2023,2,4639.5
7,11_2023,2,5211.5
7,11_2023,2.6,5168.6
7,11_2023,2.2,5042.8
8,11_2023,1.5,4952.5
8,11_2023,2,5377
8,11_2023,1.2,4163
8,11_2023,2,4914.4
9,11_2023,2.2,5111.4
9,11_2023,2,5180.2
9,11_2023,2.5,4289.3
9,11_2023,1.5,5115.7
1,12_2023,15,2562.551724137931
1,12_2023,12,2403.965517241379
1,12_2023,18,2597.793103448276
1,12_2023,16,2612.8965517241377
2,12_2023,3,2489.551724137931
2,12_2023,2.7,2927.551724137931
2,12_2023,3.2,2599.8563218390805
2,12_2023,3.5,2393.6781609195405
3,12_2023,2.5,2333.3333333333335
3,12_2023,2,2822.9195402298856
3,12_2023,3,2790.270114942529
3,12_2023,2.2,2308.0632183908046
4,12_2023,4,2440.8879310344823
4,12_2023,3.7,2501.0948275862065
4,12_2023,5,2358.103448275862
4,12_2023,4.5,3080.0172413793102
5,12_2023,2.7,2546.2499999999995
5,12_2023,2,2772.025862068965
5,12_2023,3,2400.7499999999995
5,12_2023,2.5,2630.0086206896553
6,12_2023,1.5,2531.198275862069
6,12_2023,0.9,2571.3362068965516
6,12_2023,1,3018.841954022989
6,12_2023,1.2,2676.1609195402298
7,12_2023,0.8,2445.307471264368
7,12_2023,0.6,2843.264367816092
7,12_2023,0.7,3055.7241379310344
7,12_2023,0.8,3085.692528735632
8,12_2023,1.5,2752.5
8,12_2023,1.2,3176.4166666666665
8,12_2023,0.9,2861.1379310344823
8,12_2023,1,2853.333333333333
9,12_2023,2,2448.413793103448
9,12_2023,1.5,2618.5057471264367
9,12_2023,1.6,3244.942528735632
9,12_2023,1.8,2991.862068965517
1,14_2023,53.3,3289.2
1,14_2023,53.7,4204.6
1,14_2023,52.4,4064.6
1,14_2023,52.7,3752.5
2,14_2023,16.3,4118.1
2,14_2023,14,4254.6
2,14_2023,14.8,3946.7
2,14_2023,14.4,4510.8
3,14_2023,13.7,4285.3
3,14_2023,13.7,3987.5
3,14_2023,13.1,4832.1
3,14_2023,11.8,4117.9
4,14_2023,14.6,4611.5
4,14_2023,14,4173.5
4,14_2023,13.5,4182.9
4,14_2023,14.8,4564.2
5,14_2023,12.7,4814.9
5,14_2023,13.3,4340.2
5,14_2023,14.2,5126.4
5,14_2023,13.9,5012.4
6,14_2023,12.7,5063.6
6,14_2023,12,5312.3
6,14_2023,11.6,4802.1
6,14_2023,11.4,4915
7,14_2023,11.4,5069.3
7,14_2023,13.1,4561.1
7,14_2023,12.9,5075.2
7,14_2023,11.6,4857
8,14_2023,9.9,5267
8,14_2023,12.4,4486
8,14_2023,12.2,4674
8,14_2023,12.7,4489.5
9,14_2023,14.2,4910.9
9,14_2023,14,4317.6
9,14_2023,12.5,5331.5
9,14_2023,14.6,4042.7
1,15_2023,35,2888.551724137931
1,15_2023,35,3069.1954022988502
1,15_2023,40,3241.9655172413795
1,15_2023,40,3114.206896551724
2,15_2023,15,3172.275862068965
2,15_2023,15,3477.2183908045977
2,15_2023,15,4594.379310344826
2,15_2023,18,4176.137931034484
3,15_2023,15,3676.735632183907
3,15_2023,12,3098.4827586206898
3,15_2023,15,4686.3448275862065
3,15_2023,18,3764.655172413793
4,15_2023,15,3515.7241379310344
4,15_2023,18,3859.586206896551
4,15_2023,15,4647.724137931034
4,15_2023,18,4747.12643678161
5,15_2023,18,3361.0344827586205
5,15_2023,20,3535.4022988505744
5,15_2023,15,4279.172413793103
5,15_2023,20,4025.2873563218386
6,15_2023,30,4080.027586206896
6,15_2023,18,3346.022988505748
6,15_2023,15,4412.896551724138
6,15_2023,20,4481.28735632184
7,15_2023,25,3921.103448275862
7,15_2023,18,3587.1264367816084
7,15_2023,15,4944.183908045977
7,15_2023,18,4623.701149425288
8,15_2023,22,3935.379310344828
8,15_2023,18,3783.287356321839
8,15_2023,15,4809.908045977013
8,15_2023,18,4269.620689655173
9,15_2023,15,3758.793103448276
9,15_2023,15,3171.5517241379316
9,15_2023,18,3353.0114942528735
9,15_2023,15,2827.0344827586214
